year,site,density,latitude,longitude 
2007,a-k-30,0.183,34.03836667,-119.5253
2007,a-k-31,0.2555,34.01641667,-119.4320167
2007,a-k-32,0.4375,34.0045,-119.3857833
2007,a-k-33,0.3805,34.0126,-119.3891833
2007,a-k-34,0.316,34.0141,-119.3590167
2007,a-k-35,0.1205,33.48003333,-119.0621167
2007,a-k-36,0.072,33.47306667,-119.02685
2007,a-k-37,0.241,33.46293333,-119.0312667
2007,a-p-56,0.729710145,33.900167,-120.136367
2007,a-p-59,0.138596491,33.90295,-120.099167
2007,a-p-01,0.546825397,34.002883,-119.4252
2007,a-p-03,0.966666667,34.001583,-119.398067
2007,a-p-04,0.785416667,34.017667,-119.363683
2007,a-p-05,0.5125,34.012783,-119.363133
2007,a-p-06,0.872916667,34.009883,-119.388333
2007,a-p-07,0.718333333,34.016983,-119.432917
2007,a-p-14,0.025438596,34.4412874,-120.4167926
2007,a-p-19,0.083333333,34.48696,-120.5005234
2007,a-p-22,0.35942029,34.42185,-119.9515
2007,a-p-33,0.549166667,34.044933,-119.6014
2007,a-p-36,0.445454545,34.056583,-119.821167
2007,a-p-38,0.623484848,34.072867,-119.870983
2007,a-p-39,0.441666667,34.03065,-119.69665
2007,a-p-42,0.583333333,34.048467,-119.546367
2007,a-p-43,0.693055556,34.047983,-119.5514
2007,a-p-34,0.21884058,34.051483,-119.909667
2007,a-p-35,0.54537037,33.946467,-119.823183
2007,a-p-37,0.773809524,34.0434,-119.535733
2007,a-p-41,0.502083333,34.038367,-119.5253
2007,a-p-44,0.360416667,33.983617,-119.6384
2007,a-p-45,0.212962963,33.988533,-119.546983
2007,a-p-47,0.258888889,34.015867,-120.3305
2007,a-p-48,0.177083333,34.051717,-120.346183
2007,a-p-50,0.233333333,34.052783,-120.337383
2007,a-p-52,0.645652174,34.025467,-120.4067
2007,a-p-60,0.325,33.897433,-120.100383
2007,a-p-64,0.75462963,33.891567,-120.1192
2007,a-p-32,0.827777778,34.054283,-119.566867
2007,a-p-40,0.394202899,34.050983,-119.575883
2007,a-p-57,0.108974359,33.931667,-120.197417
2007,a-p-65,0.138095238,33.90725,-120.153
2007,a-l-01,0.1125,34.400275,-119.7445917
2007,a-l-02,0.28125,34.47181667,-120.1426167
2007,a-l-03,0.34375,34.46782143,-120.1192428
2007,a-l-04,0.05,34.45849992,-120.3334874
2007,a-l-05,0.1453125,34.39167778,-119.54175
2007,a-l-06,0.1,34.41371667,-119.8221
2007,a-l-07,0.052083333,34.40469558,-119.8644769
2007,a-l-08,0.158333333,34.39410555,-119.7296222
2007,a-l-09,0.815625,34.42210741,-119.9517074
2007,a-l-10,1.25,34.0588,-119.7575
2007,a-l-11,1.04375,34.0445,-119.7155
2007,a-k-21,NA,34.0237,-120.3951667
2007,a-p-18,NA,34.40295,-119.8645167
2007,a-p-09,NA,34.46628333,-120.1169667
2007,a-p-10,NA,34.45543333,-120.33205
2007,a-p-17,NA,34.38945,-119.5447667
2008,a-s-01,0.08,33.26233333,-119.5801667
2008,a-s-02,0.052,33.27325,-119.48615
2008,a-s-03,0.06,33.24763333,-119.5703833
2008,a-s-04,0.2512,33.21665,-119.4854167
2008,a-s-05,1.7748,33.21688333,-119.4441167
2008,a-k-01,2.1095,34.02236667,-120.3874667
2008,a-k-02,0.1305,34.06438333,-120.3566
2008,a-k-03,0.1165,33.90146667,-120.1029667
2008,a-k-04,0.153,33.89753333,-120.10075
2008,a-k-05,0.3265,34.03261667,-120.107
2008,a-k-06,0.171,33.94966667,-119.8275833
2008,a-k-07,0.611,34.05635,-119.75515
2008,a-k-08,0.2565,34.0345,-119.7033333
2008,a-k-09,0.1815,34.04798333,-119.5514
2008,a-k-10,0.107,33.98983333,-119.5630667
2008,a-k-11,0.564,34.00775,-119.4343833
2008,a-k-12,0.277,34.01586667,-119.3717333
