site ,location ,data_source ,research_group,sitevar_1,sitevar_2,latitude,longitude,,,,
b-p-073,,,pisco,SCI_GULL_ISLE,W,33.948167,-119.82795,,,,
b-p-074,,,pisco,SCI_HAZARDS,CEN,34.056583,-119.821167,,,,
b-p-075,,,pisco,SCI_HAZARDS,E,34.054383,-119.81935,,,,
b-p-076,,,pisco,SCI_HAZARDS,W,34.0581,-119.824833,,,,
b-p-077,,,pisco,SCI_LITTLE_SCORPION,E,34.0434,-119.535733,,,,
b-p-078,,,pisco,SCI_LITTLE_SCORPION,W,34.04415,-119.54245,,,,
b-p-079,,,pisco,SCI_PAINTED_CAVE,CEN,34.072867,-119.870983,,,,
b-p-080,,,pisco,SCI_PAINTED_CAVE,E,34.0719,-119.85755,,,,
b-p-081,,,pisco,SCI_PAINTED_CAVE,W,34.074483,-119.882133,,,,
b-p-082,,,pisco,SCI_PELICAN,CEN,34.03065,-119.69665,,,,
b-p-083,,,pisco,SCI_PELICAN,E,34.02805,-119.690917,,,,
b-p-084,,,pisco,SCI_PELICAN,FAR_WEST,NA,NA,,,,
b-p-085,,,pisco,SCI_PELICAN,W,34.035867,-119.7023,,,,
b-p-086,,,pisco,SCI_POTATO_PASTURE,E,34.050983,-119.575883,,,,
b-p-087,,,pisco,SCI_POTATO_PASTURE,W,34.052167,-119.582117,,,,
b-p-088,,,pisco,SCI_SAN_PEDRO_POINT,E,34.038367,-119.5253,,,,
b-p-089,,,pisco,SCI_SAN_PEDRO_POINT,W,34.04225,-119.5316,,,,
b-p-090,,,pisco,SCI_SCORPION,E,34.048467,-119.546367,,,,
b-p-091,,,pisco,SCI_SCORPION,W,34.0525,-119.55525,,,,
b-p-092,,,pisco,SCI_SCORPION_ANCHORAGE,CEN,34.047983,-119.5514,,,,
b-p-093,,,pisco,SCI_VALLEY,CEN,33.983617,-119.6384,,,,
b-p-094,,,pisco,SCI_VALLEY,E,33.98355,-119.620317,,,,
b-p-095,,,pisco,SCI_VALLEY,W,33.9817,-119.6637,,,,
b-p-096,,,pisco,SCI_YELLOWBANKS,CEN,33.988533,-119.546983,,,,
b-p-097,,,pisco,SCI_YELLOWBANKS,E,34.0004333,-119.5459333,,,,
b-p-098,,,pisco,SCI_YELLOWBANKS,W,33.9893,-119.564933,,,,
b-p-099,,,pisco,SMI_BAY_POINT,CEN,34.03765,-120.30995,,,,
b-p-100,,,pisco,SMI_CROOK_POINT,E,34.015867,-120.3305,,,,
b-p-101,,,pisco,SMI_CROOK_POINT,W,34.01385,-120.337333,,,,
b-p-102,,,pisco,SMI_CUYLER,E,34.051717,-120.346183,,,,
b-p-103,,,pisco,SMI_CUYLER,W,34.05705,-120.3526,,,,
b-p-104,,,pisco,SMI_HARE_ROCK,CEN,NA,NA,,,,
b-p-105,,,pisco,SMI_HARRIS_PT_RESERVE,E,34.052783,-120.337383,,,,
b-p-106,,,pisco,SMI_HARRIS_PT_RESERVE,W,34.063683,-120.355983,,,,
b-p-107,,,pisco,SMI_PRINCE_ISLAND,CEN,NA,NA,,,,
b-p-108,,,pisco,SMI_PRINCE_ISLAND,N,NA,NA,,,,
b-p-109,,,pisco,SMI_TYLER_BIGHT,E,34.025467,-120.4067,,,,
b-p-110,,,pisco,SMI_TYLER_BIGHT,W,34.027292,-120.411744,,,,
b-p-111,,,pisco,SRI_BEACON_REEF,E,34.037383,-120.038,,,,
b-p-112,,,pisco,SRI_BEACON_REEF,W,34.040667,-120.043233,,,,
b-p-113,,,pisco,SRI_BEE_ROCK,E,33.9478,-120.21055,,,,
b-p-114,,,pisco,SRI_BEE_ROCK,W,33.9539,-120.2119,,,,
b-p-115,,,pisco,SRI_CARRINGTON,CEN,34.0377818,-120.05953,,,,
b-p-116,,,pisco,SRI_CARRINGTON,E,34.0414242,-120.04256,,,,
b-p-117,,,pisco,SRI_CARRINGTON,W,34.0316808,-120.0701,,,,
b-p-118,,,pisco,SRI_CHICKASAW,E,33.900167,-120.136367,,,,
b-p-119,,,pisco,SRI_CHICKASAW,W,33.901117,-120.13975,,,,
b-p-120,,,pisco,SRI_CLUSTER_POINT,N,33.931667,-120.197417,,,,
b-p-121,,,pisco,SRI_CLUSTER_POINT,S,33.923833,-120.192,,,,
b-p-122,,,pisco,SRI_FORD_POINT,CEN,33.9478,-120.2104285,,,,
b-p-123,,,pisco,SRI_JOHNSONS_LEE_NORTH,E,33.90295,-120.099167,,,,
b-p-124,,,pisco,SRI_JOHNSONS_LEE_NORTH,W,33.9009,-120.09915,,,,
b-p-125,,,pisco,SRI_JOHNSONS_LEE_SOUTH,E,33.897433,-120.100383,,,,
b-p-126,,,pisco,SRI_JOHNSONS_LEE_SOUTH,W,33.895133,-120.104317,,,,
b-p-127,,,pisco,SRI_JOLLA_VIEJA,E,33.90683333,-120.06745,,,,
b-p-128,,,pisco,SRI_JOLLA_VIEJA,W,33.90635,-120.0697,,,,
b-p-129,,,pisco,SRI_MONACOS,E,33.98366667,-120.0100833,,,,
b-p-130,,,pisco,SRI_MONACOS,W,33.987967,-120.0117,,,,
b-p-131,,,pisco,SRI_RODES_REEF,E,34.0325,-120.1072,,,,
b-p-132,,,pisco,SRI_RODES_REEF,W,34.0311877,-120.10881,,,,
b-p-133,,,pisco,SRI_SOUTH_POINT,E,33.891567,-120.1192,,,,
b-p-134,,,pisco,SRI_SOUTH_POINT,W,33.894167,-120.124883,,,,
b-p-135,,,pisco,SRI_TRANCION_CANYON,E,33.90725,-120.153,,,,
b-p-136,,,pisco,SRI_TRANCION_CANYON,W,33.91035,-120.159117,,,,
b-p-137,,,pisco,DUNES,CEN,34.7731,-120.65022,,,,
b-p-138,,,pisco,PISMO,W,NA,NA,,,,
b-p-139,,,pisco,VANDENBERG,N,NA,NA,,,,
b-s-01,,,sni,7,NA,33.26233333,-119.5801667,,,,
b-s-02,,,sni,11,NA,33.27325,-119.48615,,,,
b-s-03,,,sni,12,NA,33.24763333,-119.5703833,,,,
b-s-04,,,sni,13,NA,33.21665,-119.4854167,,,,
b-s-05,,,sni,14,NA,33.21688333,-119.4441167,,,,
a-k-01,,,kfm,1,NA,34.02236667,-120.3874667,,,,
a-k-02,,,kfm,2,NA,34.06438333,-120.3566,,,,
a-k-03,,,kfm,3,NA,33.90146667,-120.1029667,,,,
a-k-04,,,kfm,4,NA,33.89753333,-120.10075,,,,
a-k-05,,,kfm,5,NA,34.03261667,-120.107,,,,
a-k-06,,,kfm,6,NA,33.94966667,-119.8275833,,,,
a-k-07,,,kfm,7,NA,34.05635,-119.75515,,,,
a-k-08,,,kfm,8,NA,34.0345,-119.7033333,,,,
a-k-09,,,kfm,9,NA,34.04798333,-119.5514,,,,
a-k-10,,,kfm,10,NA,33.98983333,-119.5630667,,,,
a-k-11,,,kfm,11,NA,34.00775,-119.4343833,,,,
a-k-12,,,kfm,12,NA,34.01586667,-119.3717333,,,,
a-k-13,,,kfm,13,NA,34.01666667,-119.3616667,,,,
a-k-14,,,kfm,14,NA,33.46611667,-119.0277833,,,,
a-k-15,,,kfm,15,NA,33.48753333,-119.0275833,,,,
a-k-16,,,kfm,16,NA,33.46441667,-119.0391667,,,,
a-k-17,,,kfm,17,NA,33.03,-118.59,,,,
a-k-18,,,kfm,18,NA,33,-118.54,,,,
a-k-19,,,kfm,19,NA,32.91,-118.54,,,,
a-k-20,,,kfm,20,NA,32.8,-118.4,,,,
a-k-21,,,kfm,21,NA,34.0237,-120.3951667,,,,
a-k-22,,,kfm,22,NA,33.92303333,-120.1873667,,,,
a-k-23,,,kfm,23,NA,33.90855,-120.1555,,,,
a-k-24,,,kfm,24,NA,33.90036667,-120.1356333,,,,
a-k-25,,,kfm,25,NA,33.89233333,-120.1195,,,,
a-k-26,,,kfm,26,NA,34.04493333,-119.6014,,,,
a-k-27,,,kfm,27,NA,34.05223333,-119.5825333,,,,
a-k-28,,,kfm,28,NA,34.05428333,-119.56685,,,,
a-k-29,,,kfm,29,NA,34.04415,-119.54245,,,,
a-k-30,,,kfm,30,NA,34.03836667,-119.5253,,,,
a-k-31,,,kfm,31,NA,34.01641667,-119.4320167,,,,
a-k-32,,,kfm,32,NA,34.0045,-119.3857833,,,,
a-k-33,,,kfm,33,NA,34.0126,-119.3891833,,,,
a-k-34,,,kfm,34,NA,34.0141,-119.3590167,,,,
a-k-35,,,kfm,35,NA,33.48003333,-119.0621167,,,,
a-k-36,,,kfm,36,NA,33.47306667,-119.02685,,,,
a-k-37,,,kfm,37,NA,33.46293333,-119.0312667,,,,
a-l-01,,,lter,ABUR,NA,34.400275,-119.7445917,,,,
a-l-02,,,lter,AHND,NA,34.47181667,-120.1426167,,,,
a-l-03,,,lter,AQUE,NA,34.46782143,-120.1192428,,,,
a-l-04,,,lter,BULL,NA,34.45849992,-120.3334874,,,,
a-l-05,,,lter,CARP,NA,34.39167778,-119.54175,,,,
a-l-06,,,lter,GOLB,NA,34.41371667,-119.8221,,,,
a-l-07,,,lter,IVEE,NA,34.40469558,-119.8644769,,,,
a-l-08,,,lter,MOHK,NA,34.39410555,-119.7296222,,,,
a-l-09,,,lter,NAPL,NA,34.42210741,-119.9517074,,,,
a-l-10,,,lter,SCDI,NA,34.0588,-119.7575,,,,
a-l-11,,,lter,SCTW,NA,34.0445,-119.7155,,,,
a-p-01,,,pisco,ANACAPA_ADMIRALS,CEN,34.002883,-119.4252,,,,
a-p-01,,,pisco,ANACAPA_ADMIRALS,E,34.003433,-119.418,,,,
a-p-01,,,pisco,ANACAPA_ADMIRALS,W,34.00775,-119.434383,,,,
a-p-02,,,pisco,ANACAPA_BLACK_SEA_BASS,CEN,34.0126,-119.389183,,,,
a-p-03,,,pisco,ANACAPA_EAST_FISH_CAMP,CEN,34.001583,-119.398067,,,,
a-p-03,,,pisco,ANACAPA_EAST_FISH_CAMP,E,34.0045,-119.385783,,,,
a-p-03,,,pisco,ANACAPA_EAST_FISH_CAMP,W,34.003083,-119.404167,,,,
a-p-04,,,pisco,ANACAPA_EAST_ISLE,CEN,34.017667,-119.363683,,,,
a-p-04,,,pisco,ANACAPA_EAST_ISLE,E,34.017033,-119.361133,,,,
a-p-04,,,pisco,ANACAPA_EAST_ISLE,W,34.015867,-119.371733,,,,
a-p-05,,,pisco,ANACAPA_LIGHTHOUSE_REEF,CEN,34.012783,-119.363133,,,,
a-p-05,,,pisco,ANACAPA_LIGHTHOUSE_REEF,E,34.0139,-119.36,,,,
a-p-05,,,pisco,ANACAPA_LIGHTHOUSE_REEF,W,34.010783,-119.3725,,,,
a-p-06,,,pisco,ANACAPA_MIDDLE_ISLE,CEN,34.009883,-119.388333,,,,
a-p-06,,,pisco,ANACAPA_MIDDLE_ISLE,E,34.0085,-119.388167,,,,
a-p-06,,,pisco,ANACAPA_MIDDLE_ISLE,W,34.007833,-119.394467,,,,
a-p-07,,,pisco,ANACAPA_WEST_ISLE,CEN,34.016983,-119.432917,,,,
a-p-07,,,pisco,ANACAPA_WEST_ISLE,E,34.016083,-119.421833,,,,
a-p-07,,,pisco,ANACAPA_WEST_ISLE,W,34.017417,-119.438067,,,,
a-p-08,,,pisco,ARGUELLO,E,34.5417333,-120.5717167,,,,
a-p-08,,,pisco,ARGUELLO,W,34.5405,-120.5691167,,,,
a-p-09,,,pisco,ARROYO_QUEMADO,E,34.46628333,-120.1169667,,,,
a-p-09,,,pisco,ARROYO_QUEMADO,W,34.46835,-120.1251833,,,,
a-p-10,,,pisco,BULLITO,CEN,34.45543333,-120.33205,,,,
a-p-11,,,pisco,CAT_BLUE_CAVERN,CEN,NA,NA,,,,
a-p-12,,,pisco,CAT_INTAKE_PIPES,CEN,NA,NA,,,,
a-p-13,,,pisco,CAT_PUMPERNICKEL,CEN,NA,NA,,,,
a-p-14,,,pisco,COJO,E,34.4412874,-120.4167926,,,,
a-p-14,,,pisco,COJO,W,34.443204,-120.4233264,,,,
a-p-15,,,pisco,COUNTY_LINE,CEN,34.04301667,-118.9522167,,,,
a-p-16,,,pisco,EL_MATADOR,CEN,34.03328333,-118.8701667,,,,
a-p-17,,,pisco,HORSESHOE_REEF,E,34.38945,-119.5447667,,,,
a-p-17,,,pisco,HORSESHOE_REEF,W,34.39173333,-119.5577,,,,
a-p-18,,,pisco,IV_REEF,E,34.40295,-119.8645167,,,,
a-p-18,,,pisco,IV_REEF,W,34.40473333,-119.8762833,,,,
a-p-19,,,pisco,JALAMA,N,34.48696,-120.5005234,,,,
a-p-19,,,pisco,JALAMA,S,34.4808418,-120.4944583,,,,
a-p-20,,,pisco,LEO_CARRILLO,CEN,34.03761667,-118.9219833,,,,
a-p-21,,,pisco,LITTLE_DUME,CEN,34.00491667,-118.7891167,,,,
a-p-22,,,pisco,NAPLES,CEN,34.42185,-119.9515,,,,
a-p-22,,,pisco,NAPLES,E,34.423333,-119.951017,,,,
a-p-22,,,pisco,NAPLES,W,34.424633,-119.955317,,,,
a-p-23,,,pisco,POINT_DUME,CEN,33.99853333,-118.8056333,,,,
a-p-24,,,pisco,PURISIMA,N,34.7295008,-120.6317048,,,,
a-p-24,,,pisco,PURISIMA,S,34.7269485,-120.6271384,,,,
a-p-25,,,pisco,SAL,CEN,34.8719167,-120.6325667,,,,
a-p-25,,,pisco,SAL,E,NA,NA,,,,
a-p-25,,,pisco,SAL,FAR_WEST,NA,NA,,,,
a-p-25,,,pisco,SAL,N,34.87315,-120.6344833,,,,
a-p-25,,,pisco,SAL,S,34.871733,-120.6300833,,,,
a-p-25,,,pisco,SAL,W,34.8726667,-120.6327,,,,
a-p-26,,,pisco,SBI_ARCH_POINT,CEN,33.485617,-119.028767,,,,
a-p-26,,,pisco,SBI_ARCH_POINT,N,33.4875,-119.027217,,,,
a-p-26,,,pisco,SBI_ARCH_POINT,S,33.482883,-119.029,,,,
a-p-27,,,pisco,SBI_CAT_CANYON,CEN,33.4644,-119.03915,,,,
a-p-27,,,pisco,SBI_CAT_CANYON,W,33.4644166,-119.0440833,,,,
a-p-28,,,pisco,SBI_GRAVEYARD_CANYON,CEN,33.473067,-119.02685,,,,
a-p-28,,,pisco,SBI_GRAVEYARD_CANYON,N,33.47515,-119.024767,,,,
a-p-29,,,pisco,SBI_SOUTHEAST_REEF,CEN,33.462933,-119.031267,,,,
a-p-29,,,pisco,SBI_SOUTHEAST_REEF,S,33.458967,-119.033183,,,,
a-p-30,,,pisco,SBI_SOUTHEAST_SEA_LION,CEN,33.4661,-119.027783,,,,
a-p-30,,,pisco,SBI_SOUTHEAST_SEA_LION,N,33.470617,-119.028117,,,,
a-p-31,,,pisco,SBI_WEBSTERS_ARCH,CEN,33.480033,-119.0621,,,,
a-p-31,,,pisco,SBI_WEBSTERS_ARCH,E,33.478767,-119.05355,,,,
a-p-31,,,pisco,SBI_WEBSTERS_ARCH,N,33.4903,-119.049217,,,,
a-p-32,,,pisco,SCI_CAVERN_POINT,E,34.054283,-119.566867,,,,
a-p-32,,,pisco,SCI_CAVERN_POINT,W,34.05275,-119.5713,,,,
a-p-33,,,pisco,SCI_COCHE_POINT,E,34.044933,-119.6014,,,,
a-p-33,,,pisco,SCI_COCHE_POINT,W,34.04265,-119.604,,,,
a-p-34,,,pisco,SCI_FORNEY,E,34.051483,-119.909667,,,,
a-p-34,,,pisco,SCI_FORNEY,W,34.053883,-119.9182,,,,
a-p-35,,,pisco,SCI_GULL_ISLE,E,33.946467,-119.823183,,,,
a-p-35,,,pisco,SCI_GULL_ISLE,W,33.948167,-119.82795,,,,
a-p-36,,,pisco,SCI_HAZARDS,CEN,34.056583,-119.821167,,,,
a-p-36,,,pisco,SCI_HAZARDS,E,34.054383,-119.81935,,,,
a-p-36,,,pisco,SCI_HAZARDS,W,34.0581,-119.824833,,,,
a-p-37,,,pisco,SCI_LITTLE_SCORPION,E,34.0434,-119.535733,,,,
a-p-37,,,pisco,SCI_LITTLE_SCORPION,W,34.04415,-119.54245,,,,
a-p-38,,,pisco,SCI_PAINTED_CAVE,CEN,34.072867,-119.870983,,,,
a-p-38,,,pisco,SCI_PAINTED_CAVE,E,34.0719,-119.85755,,,,
a-p-38,,,pisco,SCI_PAINTED_CAVE,W,34.074483,-119.882133,,,,
a-p-39,,,pisco,SCI_PELICAN,CEN,34.03065,-119.69665,,,,
a-p-39,,,pisco,SCI_PELICAN,E,34.02805,-119.690917,,,,
a-p-39,,,pisco,SCI_PELICAN,FAR_WEST,NA,NA,,,,
a-p-39,,,pisco,SCI_PELICAN,W,34.035867,-119.7023,,,,
a-p-40,,,pisco,SCI_POTATO_PASTURE,E,34.050983,-119.575883,,,,
a-p-40,,,pisco,SCI_POTATO_PASTURE,W,34.052167,-119.582117,,,,
a-p-41,,,pisco,SCI_SAN_PEDRO_POINT,E,34.038367,-119.5253,,,,
a-p-41,,,pisco,SCI_SAN_PEDRO_POINT,W,34.04225,-119.5316,,,,
a-p-42,,,pisco,SCI_SCORPION,E,34.048467,-119.546367,,,,
a-p-42,,,pisco,SCI_SCORPION,W,34.0525,-119.55525,,,,
a-p-43,,,pisco,SCI_SCORPION_ANCHORAGE,CEN,34.047983,-119.5514,,,,
a-p-44,,,pisco,SCI_VALLEY,CEN,33.983617,-119.6384,,,,
a-p-44,,,pisco,SCI_VALLEY,E,33.98355,-119.620317,,,,
a-p-44,,,pisco,SCI_VALLEY,W,33.9817,-119.6637,,,,
a-p-45,,,pisco,SCI_YELLOWBANKS,CEN,33.988533,-119.546983,,,,
a-p-45,,,pisco,SCI_YELLOWBANKS,E,34.0004333,-119.5459333,,,,
a-p-45,,,pisco,SCI_YELLOWBANKS,W,33.9893,-119.564933,,,,
a-p-46,,,pisco,SMI_BAY_POINT,CEN,34.03765,-120.30995,,,,
