year,site,richness,shannonindex,hillnumber,location,latitude,longitude
1987,a-k-08,11,3.82,3.12,santa_cruz_island,34.0345,-119.7033333
1987,a-k-09,12,1.68,1.3,santa_cruz_island,34.04798333,-119.5514
1987,a-k-10,9,2.42,2.06,santa_cruz_island,33.98983333,-119.5630667
1987,a-k-11,12,2.54,1.86,anacapa_island,34.00775,-119.4343833
1987,a-k-12,10,3.77,3.28,anacapa_island,34.01586667,-119.3717333
1987,a-k-13,11,4.36,3.53,anacapa_island,34.01666667,-119.3616667
1987,a-k-14,10,1.88,1.44,santa_barbara_island,33.46611667,-119.0277833
1987,a-k-15,10,1.98,1.44,santa_barbara_island,33.48753333,-119.0275833
1987,a-k-16,9,1.59,1.25,santa_barbara_island,33.46441667,-119.0391667
1988,a-k-01,8,4.55,3.43,san_miguel_island,34.02236667,-120.3874667
1988,a-k-02,12,3.29,2.62,san_miguel_island,34.06438333,-120.3566
1988,a-k-03,11,5.88,4.85,santa_rosa_island,33.90146667,-120.1029667
1988,a-k-04,11,4.74,3.44,santa_rosa_island,33.89753333,-120.10075
1988,a-k-05,10,3.32,2.39,santa_rosa_island,34.03261667,-120.107
1988,a-k-06,11,2.21,1.54,santa_cruz_island,33.94966667,-119.8275833
1988,a-k-07,11,5.27,3.9,santa_cruz_island,34.05635,-119.75515
1988,a-k-08,10,3.51,2.63,santa_cruz_island,34.0345,-119.7033333
1988,a-k-09,11,1.67,1.3,santa_cruz_island,34.04798333,-119.5514
1988,a-k-10,12,2.34,1.78,santa_cruz_island,33.98983333,-119.5630667
1988,a-k-11,12,2.48,1.78,anacapa_island,34.00775,-119.4343833
1988,a-k-12,11,3.88,3.37,anacapa_island,34.01586667,-119.3717333
1988,a-k-13,10,4.4,3.8,anacapa_island,34.01666667,-119.3616667
1988,a-k-14,10,1.81,1.43,santa_barbara_island,33.46611667,-119.0277833
1988,a-k-15,11,1.58,1.21,santa_barbara_island,33.48753333,-119.0275833
1988,a-k-16,10,1.37,1.15,santa_barbara_island,33.46441667,-119.0391667
1989,a-k-01,8,4.19,3.07,san_miguel_island,34.02236667,-120.3874667
1989,a-k-02,10,3.5,2.57,san_miguel_island,34.06438333,-120.3566
1989,a-k-03,11,4.78,3.84,santa_rosa_island,33.90146667,-120.1029667
1989,a-k-04,11,3.08,2.11,santa_rosa_island,33.89753333,-120.10075
1989,a-k-05,9,4.18,3.63,santa_rosa_island,34.03261667,-120.107
1989,a-k-06,11,1.76,1.28,santa_cruz_island,33.94966667,-119.8275833
1989,a-k-07,10,4.6,3.31,santa_cruz_island,34.05635,-119.75515
1989,a-k-08,12,3.77,2.82,santa_cruz_island,34.0345,-119.7033333
1989,a-k-09,10,1.65,1.27,santa_cruz_island,34.04798333,-119.5514
1989,a-k-10,13,2.71,2.24,santa_cruz_island,33.98983333,-119.5630667
1989,a-k-11,10,3.33,2.76,anacapa_island,34.00775,-119.4343833
1989,a-k-12,10,4.44,3.84,anacapa_island,34.01586667,-119.3717333
1989,a-k-13,12,4.46,3.75,anacapa_island,34.01666667,-119.3616667
1989,a-k-14,11,2.16,1.6,santa_barbara_island,33.46611667,-119.0277833
1989,a-k-15,9,1.34,1.12,santa_barbara_island,33.48753333,-119.0275833
1989,a-k-16,9,1.46,1.19,santa_barbara_island,33.46441667,-119.0391667
1990,a-k-01,10,4.18,3.05,san_miguel_island,34.02236667,-120.3874667
1990,a-k-02,8,3.06,2.19,san_miguel_island,34.06438333,-120.3566
1990,a-k-03,10,6.4,5.62,santa_rosa_island,33.90146667,-120.1029667
1990,a-k-04,10,2.77,1.93,santa_rosa_island,33.89753333,-120.10075
1990,a-k-05,10,3.07,2.24,santa_rosa_island,34.03261667,-120.107
1990,a-k-06,12,2.09,1.42,santa_cruz_island,33.94966667,-119.8275833
1990,a-k-07,10,4.38,3.11,santa_cruz_island,34.05635,-119.75515
1990,a-k-08,11,3.26,2.4,santa_cruz_island,34.0345,-119.7033333
1990,a-k-09,9,1.37,1.14,santa_cruz_island,34.04798333,-119.5514
1990,a-k-10,11,2.45,2.02,santa_cruz_island,33.98983333,-119.5630667
1990,a-k-11,13,3.49,2.75,anacapa_island,34.00775,-119.4343833
1990,a-k-12,9,3.71,3.23,anacapa_island,34.01586667,-119.3717333
1990,a-k-13,11,4.76,4.08,anacapa_island,34.01666667,-119.3616667
1990,a-k-14,10,1.96,1.55,santa_barbara_island,33.46611667,-119.0277833
1990,a-k-15,9,1.28,1.1,santa_barbara_island,33.48753333,-119.0275833
1990,a-k-16,10,1.44,1.18,santa_barbara_island,33.46441667,-119.0391667
1991,a-k-01,8,4.45,3.11,san_miguel_island,34.02236667,-120.3874667
1991,a-k-02,8,3.1,2.17,san_miguel_island,34.06438333,-120.3566
1991,a-k-03,11,7.05,6.36,santa_rosa_island,33.90146667,-120.1029667
1991,a-k-04,11,4.27,3.2,santa_rosa_island,33.89753333,-120.10075
1991,a-k-05,8,3.66,3.14,santa_rosa_island,34.03261667,-120.107
1991,a-k-06,12,2.53,1.65,santa_cruz_island,33.94966667,-119.8275833
1991,a-k-07,12,5.88,4.8,santa_cruz_island,34.05635,-119.75515
1991,a-k-08,10,2.63,1.91,santa_cruz_island,34.0345,-119.7033333
1991,a-k-09,9,1.24,1.08,santa_cruz_island,34.04798333,-119.5514
1991,a-k-10,12,3.25,2.64,santa_cruz_island,33.98983333,-119.5630667
1991,a-k-11,12,3.99,3.39,anacapa_island,34.00775,-119.4343833
1991,a-k-12,12,3.4,2.53,anacapa_island,34.01586667,-119.3717333
1991,a-k-13,10,2.54,2.18,anacapa_island,34.01666667,-119.3616667
1991,a-k-14,12,2.31,1.92,santa_barbara_island,33.46611667,-119.0277833
1991,a-k-15,8,1.32,1.12,santa_barbara_island,33.48753333,-119.0275833
1991,a-k-16,10,1.41,1.15,santa_barbara_island,33.46441667,-119.0391667
1992,a-k-01,9,4.8,3.43,san_miguel_island,34.02236667,-120.3874667
1992,a-k-02,9,2.47,1.67,san_miguel_island,34.06438333,-120.3566
1992,a-k-03,11,7.07,5.92,santa_rosa_island,33.90146667,-120.1029667
1992,a-k-04,11,3.54,2.72,santa_rosa_island,33.89753333,-120.10075
1992,a-k-05,8,3.4,2.86,santa_rosa_island,34.03261667,-120.107
1992,a-k-06,10,3.09,2.05,santa_cruz_island,33.94966667,-119.8275833
1992,a-k-07,11,3.79,2.55,santa_cruz_island,34.05635,-119.75515
1992,a-k-08,10,3.56,2.46,santa_cruz_island,34.0345,-119.7033333
1992,a-k-09,10,1.42,1.14,santa_cruz_island,34.04798333,-119.5514
1992,a-k-10,10,1.89,1.38,santa_cruz_island,33.98983333,-119.5630667
1992,a-k-11,11,3.68,3.1,anacapa_island,34.00775,-119.4343833
1992,a-k-12,9,3.51,2.66,anacapa_island,34.01586667,-119.3717333
1992,a-k-13,10,4.23,3.25,anacapa_island,34.01666667,-119.3616667
1992,a-k-14,10,2.16,1.62,santa_barbara_island,33.46611667,-119.0277833
1992,a-k-15,9,1.36,1.14,santa_barbara_island,33.48753333,-119.0275833
1992,a-k-16,9,1.43,1.18,santa_barbara_island,33.46441667,-119.0391667
1993,a-k-01,9,4.83,3.71,san_miguel_island,34.02236667,-120.3874667
1993,a-k-02,10,3.1,2.18,san_miguel_island,34.06438333,-120.3566
1993,a-k-03,10,6.65,4.88,santa_rosa_island,33.90146667,-120.1029667
1993,a-k-04,11,4.44,2.91,santa_rosa_island,33.89753333,-120.10075
1993,a-k-05,8,3.56,2.86,santa_rosa_island,34.03261667,-120.107
1993,a-k-06,10,2.49,1.66,santa_cruz_island,33.94966667,-119.8275833
1993,a-k-07,10,4.64,3.29,santa_cruz_island,34.05635,-119.75515
1993,a-k-08,11,3.97,2.91,santa_cruz_island,34.0345,-119.7033333
1993,a-k-09,8,1.4,1.14,santa_cruz_island,34.04798333,-119.5514
1993,a-k-10,9,5.08,4.58,santa_cruz_island,33.98983333,-119.5630667
1993,a-k-11,11,3.29,2.72,anacapa_island,34.00775,-119.4343833
1993,a-k-12,9,3.87,3.13,anacapa_island,34.01586667,-119.3717333
1993,a-k-13,11,3.64,2.95,anacapa_island,34.01666667,-119.3616667
1993,a-k-14,11,3.32,2.38,santa_barbara_island,33.46611667,-119.0277833
1993,a-k-15,7,2.6,2.17,santa_barbara_island,33.48753333,-119.0275833
1993,a-k-16,10,2.39,2.03,santa_barbara_island,33.46441667,-119.0391667
1994,a-k-01,11,4.72,3.39,san_miguel_island,34.02236667,-120.3874667
1994,a-k-02,10,3.16,2.15,san_miguel_island,34.06438333,-120.3566
1994,a-k-03,12,6.47,5.39,santa_rosa_island,33.90146667,-120.1029667
1994,a-k-04,10,3.62,2.4,santa_rosa_island,33.89753333,-120.10075
1994,a-k-05,10,3.8,3.01,santa_rosa_island,34.03261667,-120.107
1994,a-k-06,11,2.63,1.82,santa_cruz_island,33.94966667,-119.8275833
1994,a-k-07,11,6.26,4.92,santa_cruz_island,34.05635,-119.75515
1994,a-k-08,13,2.14,1.57,santa_cruz_island,34.0345,-119.7033333
1994,a-k-09,11,1.56,1.19,santa_cruz_island,34.04798333,-119.5514
1994,a-k-10,11,4.77,3.86,santa_cruz_island,33.98983333,-119.5630667
1994,a-k-11,12,3.4,2.54,anacapa_island,34.00775,-119.4343833
1994,a-k-12,11,4,3.53,anacapa_island,34.01586667,-119.3717333
1994,a-k-13,10,3.41,2.89,anacapa_island,34.01666667,-119.3616667
1994,a-k-14,13,2.25,1.59,santa_barbara_island,33.46611667,-119.0277833
1994,a-k-15,8,2.14,1.7,santa_barbara_island,33.48753333,-119.0275833
1994,a-k-16,10,2.65,2.26,santa_barbara_island,33.46441667,-119.0391667
1995,a-k-01,12,5.82,4.6,san_miguel_island,34.02236667,-120.3874667
1995,a-k-02,10,2.44,1.73,san_miguel_island,34.06438333,-120.3566
1995,a-k-03,10,6.4,5.64,santa_rosa_island,33.90146667,-120.1029667
1995,a-k-04,11,4.41,3.5,santa_rosa_island,33.89753333,-120.10075
1995,a-k-05,11,4.03,3.17,santa_rosa_island,34.03261667,-120.107
1995,a-k-06,12,2.23,1.62,santa_cruz_island,33.94966667,-119.8275833
1995,a-k-07,11,3.21,2.08,santa_cruz_island,34.05635,-119.75515
1995,a-k-08,9,1.67,1.29,santa_cruz_island,34.0345,-119.7033333
1995,a-k-09,11,1.6,1.25,santa_cruz_island,34.04798333,-119.5514
1995,a-k-10,11,2.34,1.56,santa_cruz_island,33.98983333,-119.5630667
1995,a-k-11,11,2.02,1.55,anacapa_island,34.00775,-119.4343833
1995,a-k-12,11,3.74,3.21,anacapa_island,34.01586667,-119.3717333
1995,a-k-13,10,3.75,3.24,anacapa_island,34.01666667,-119.3616667
1995,a-k-14,12,1.46,1.17,santa_barbara_island,33.46611667,-119.0277833
1995,a-k-15,10,1.51,1.24,santa_barbara_island,33.48753333,-119.0275833
1995,a-k-16,11,2.4,2.14,santa_barbara_island,33.46441667,-119.0391667
1996,a-k-01,8,3.37,2.36,san_miguel_island,34.02236667,-120.3874667
1996,a-k-02,10,2.73,1.87,san_miguel_island,34.06438333,-120.3566
1996,a-k-03,13,6.43,5.72,santa_rosa_island,33.90146667,-120.1029667
1996,a-k-04,13,3.97,2.88,santa_rosa_island,33.89753333,-120.10075
1996,a-k-05,11,3.67,2.77,santa_rosa_island,34.03261667,-120.107
1996,a-k-06,12,2.41,1.69,santa_cruz_island,33.94966667,-119.8275833
1996,a-k-07,14,2.48,1.56,santa_cruz_island,34.05635,-119.75515
1996,a-k-08,10,1.49,1.19,santa_cruz_island,34.0345,-119.7033333
1996,a-k-09,12,1.47,1.2,santa_cruz_island,34.04798333,-119.5514
1996,a-k-10,12,2.41,1.64,santa_cruz_island,33.98983333,-119.5630667
1996,a-k-11,11,2.58,2,anacapa_island,34.00775,-119.4343833
1996,a-k-12,10,3.86,3.4,anacapa_island,34.01586667,-119.3717333
1996,a-k-13,11,3.76,3.22,anacapa_island,34.01666667,-119.3616667
1996,a-k-14,12,1.85,1.32,santa_barbara_island,33.46611667,-119.0277833
1996,a-k-15,12,1.26,1.09,santa_barbara_island,33.48753333,-119.0275833
1996,a-k-16,12,2.23,2.07,santa_barbara_island,33.46441667,-119.0391667
1997,a-k-01,13,5.03,3.11,san_miguel_island,34.02236667,-120.3874667
1997,a-k-02,10,2.27,1.71,san_miguel_island,34.06438333,-120.3566
1997,a-k-03,11,6.56,5.8,santa_rosa_island,33.90146667,-120.1029667
1997,a-k-04,11,3.47,2.49,santa_rosa_island,33.89753333,-120.10075
1997,a-k-05,12,4.03,3.25,santa_rosa_island,34.03261667,-120.107
1997,a-k-06,14,2.81,1.87,santa_cruz_island,33.94966667,-119.8275833
1997,a-k-07,11,2.22,1.51,santa_cruz_island,34.05635,-119.75515
1997,a-k-08,12,1.77,1.3,santa_cruz_island,34.0345,-119.7033333
1997,a-k-09,9,1.51,1.21,santa_cruz_island,34.04798333,-119.5514
1997,a-k-10,12,2.37,1.65,santa_cruz_island,33.98983333,-119.5630667
1997,a-k-11,11,2.53,1.99,anacapa_island,34.00775,-119.4343833
1997,a-k-12,11,3.84,3.51,anacapa_island,34.01586667,-119.3717333
1997,a-k-13,12,4.26,3.73,anacapa_island,34.01666667,-119.3616667
1997,a-k-14,11,1.73,1.29,santa_barbara_island,33.46611667,-119.0277833
1997,a-k-15,11,1.41,1.17,santa_barbara_island,33.48753333,-119.0275833
1997,a-k-16,10,2.01,1.79,santa_barbara_island,33.46441667,-119.0391667
1998,a-k-01,12,5.51,4.26,san_miguel_island,34.02236667,-120.3874667
1998,a-k-02,13,2.42,1.79,san_miguel_island,34.06438333,-120.3566
1998,a-k-03,13,1.39,1.14,santa_rosa_island,33.90146667,-120.1029667
1998,a-k-04,12,3.23,2.51,santa_rosa_island,33.89753333,-120.10075
1998,a-k-05,13,3.79,2.96,santa_rosa_island,34.03261667,-120.107
1998,a-k-06,13,2.14,1.53,santa_cruz_island,33.94966667,-119.8275833
1998,a-k-07,12,1.84,1.38,santa_cruz_island,34.05635,-119.75515
1998,a-k-08,11,1.61,1.26,santa_cruz_island,34.0345,-119.7033333
1998,a-k-09,13,1.69,1.3,santa_cruz_island,34.04798333,-119.5514
1998,a-k-10,9,2.09,1.54,santa_cruz_island,33.98983333,-119.5630667
1998,a-k-11,12,2.3,1.71,anacapa_island,34.00775,-119.4343833
1998,a-k-12,12,4.32,3.91,anacapa_island,34.01586667,-119.3717333
1998,a-k-13,12,3.63,3.03,anacapa_island,34.01666667,-119.3616667
1998,a-k-14,13,2.49,1.57,santa_barbara_island,33.46611667,-119.0277833
1998,a-k-15,11,2.04,1.49,santa_barbara_island,33.48753333,-119.0275833
1998,a-k-16,9,2.83,2.25,santa_barbara_island,33.46441667,-119.0391667
1999,a-k-01,11,5.46,4.28,san_miguel_island,34.02236667,-120.3874667
1999,a-k-02,12,2.21,1.67,san_miguel_island,34.06438333,-120.3566
1999,a-k-03,12,1.52,1.2,santa_rosa_island,33.90146667,-120.1029667
1999,a-k-04,12,2.95,2.09,santa_rosa_island,33.89753333,-120.10075
1999,a-k-05,12,2.72,2.1,santa_rosa_island,34.03261667,-120.107
1999,a-k-06,14,2.85,1.93,santa_cruz_island,33.94966667,-119.8275833
1999,a-k-07,11,2.49,1.73,santa_cruz_island,34.05635,-119.75515
1999,a-k-08,12,3.6,2.73,santa_cruz_island,34.0345,-119.7033333
1999,a-k-09,10,1.98,1.54,santa_cruz_island,34.04798333,-119.5514
1999,a-k-10,13,3.48,2.8,santa_cruz_island,33.98983333,-119.5630667
1999,a-k-11,13,2.2,1.56,anacapa_island,34.00775,-119.4343833
1999,a-k-12,13,3.56,2.8,anacapa_island,34.01586667,-119.3717333
1999,a-k-13,11,3.9,3.44,anacapa_island,34.01666667,-119.3616667
1999,a-k-14,13,3.94,2.67,santa_barbara_island,33.46611667,-119.0277833
1999,a-k-15,10,2.62,2.02,santa_barbara_island,33.48753333,-119.0275833
1999,a-k-16,11,3.39,2.44,santa_barbara_island,33.46441667,-119.0391667
1999,a-p-01,12,1.88,1.42,anacapa_island,34.002883,-119.4252
1999,a-p-04,9,3.11,2.23,anacapa_island,34.017667,-119.363683
1999,a-p-08,11,6.85,5.34,mainland,34.5417333,-120.5717167
1999,a-p-14,10,2.44,1.59,mainland,34.4412874,-120.4167926
1999,a-p-19,8,1.59,1.23,mainland,34.48696,-120.5005234
1999,a-p-22,14,1.68,1.25,mainland,34.42185,-119.9515
1999,a-p-24,11,9.37,8.1,mainland,34.7295008,-120.6317048
1999,a-p-25,8,3.26,2.29,mainland,34.8719167,-120.6325667
2000,a-k-01,13,3.55,2.55,san_miguel_island,34.02236667,-120.3874667
2000,a-k-02,11,2.34,1.96,san_miguel_island,34.06438333,-120.3566
2000,a-k-03,12,1.48,1.2,santa_rosa_island,33.90146667,-120.1029667
2000,a-k-04,13,2.22,1.55,santa_rosa_island,33.89753333,-120.10075
2000,a-k-05,16,2.7,1.99,santa_rosa_island,34.03261667,-120.107
2000,a-k-06,14,2.16,1.49,santa_cruz_island,33.94966667,-119.8275833
2000,a-k-07,14,2.99,1.98,santa_cruz_island,34.05635,-119.75515
2000,a-k-08,12,3,2.2,santa_cruz_island,34.0345,-119.7033333
2000,a-k-09,13,1.63,1.31,santa_cruz_island,34.04798333,-119.5514
2000,a-k-10,13,3.94,3.26,santa_cruz_island,33.98983333,-119.5630667
2000,a-k-11,12,1.62,1.28,anacapa_island,34.00775,-119.4343833
2000,a-k-12,14,4.55,3.62,anacapa_island,34.01586667,-119.3717333
2000,a-k-13,12,4.27,3.68,anacapa_island,34.01666667,-119.3616667
2000,a-k-14,14,1.99,1.37,santa_barbara_island,33.46611667,-119.0277833
2000,a-k-15,13,1.81,1.36,santa_barbara_island,33.48753333,-119.0275833
2000,a-k-16,10,3.1,2.52,santa_barbara_island,33.46441667,-119.0391667
2000,a-l-04,22,5.15,3.43,mainland,34.45849992,-120.3334874
2000,a-l-05,23,2.81,1.73,mainland,34.39167778,-119.54175
2000,a-l-09,27,3.81,2.76,mainland,34.42210741,-119.9517074
2000,a-p-04,26,12.83,8.41,anacapa_island,34.017667,-119.363683
2000,a-p-06,27,10.21,5.41,anacapa_island,34.009883,-119.388333
2000,a-p-14,27,7.63,5.35,mainland,34.4412874,-120.4167926
2000,a-p-19,23,11.2,9.52,mainland,34.48696,-120.5005234
2000,a-p-22,31,10.89,7.09,mainland,34.42185,-119.9515
2000,a-p-24,28,17.71,15.8,mainland,34.7295008,-120.6317048
2000,a-p-25,20,10.81,8.35,mainland,34.8719167,-120.6325667
2000,a-p-36,30,3.37,1.91,santa_cruz_island,34.056583,-119.821167
2000,a-p-39,29,8.82,5.17,santa_cruz_island,34.03065,-119.69665
2001,a-k-01,12,3.83,3.1,san_miguel_island,34.02236667,-120.3874667
2001,a-k-02,10,3.34,2.64,san_miguel_island,34.06438333,-120.3566
2001,a-k-03,11,4.02,3.07,santa_rosa_island,33.90146667,-120.1029667
2001,a-k-04,11,3.27,2.44,santa_rosa_island,33.89753333,-120.10075
2001,a-k-05,11,3.06,2.11,santa_rosa_island,34.03261667,-120.107
2001,a-k-06,14,2.63,1.82,santa_cruz_island,33.94966667,-119.8275833
2001,a-k-07,14,2.67,1.74,santa_cruz_island,34.05635,-119.75515
2001,a-k-08,13,2.24,1.55,santa_cruz_island,34.0345,-119.7033333
2001,a-k-09,13,1.66,1.28,santa_cruz_island,34.04798333,-119.5514
2001,a-k-10,14,3.96,3.24,santa_cruz_island,33.98983333,-119.5630667
2001,a-k-11,13,1.94,1.49,anacapa_island,34.00775,-119.4343833
2001,a-k-12,12,4.12,3.41,anacapa_island,34.01586667,-119.3717333
2001,a-k-13,12,3.99,3.5,anacapa_island,34.01666667,-119.3616667
2001,a-k-14,15,2.66,1.73,santa_barbara_island,33.46611667,-119.0277833
2001,a-k-15,12,1.47,1.21,santa_barbara_island,33.48753333,-119.0275833
2001,a-k-16,10,2.5,1.94,santa_barbara_island,33.46441667,-119.0391667
2001,a-k-21,4,2.59,2.27,san_miguel_island,34.0237,-120.3951667
2001,a-l-01,8,4.26,3.43,mainland,34.400275,-119.7445917
2001,a-l-02,8,2.29,1.85,mainland,34.47181667,-120.1426167
2001,a-l-03,20,4.44,3.09,mainland,34.46782143,-120.1192428
2001,a-l-04,12,2.11,1.48,mainland,34.45849992,-120.3334874
2001,a-l-05,22,2.49,1.59,mainland,34.39167778,-119.54175
2001,a-l-06,15,2.28,1.74,mainland,34.41371667,-119.8221
2001,a-l-07,11,3.95,2.53,mainland,34.40469558,-119.8644769
2001,a-l-08,16,2.92,1.96,mainland,34.39410555,-119.7296222
2001,a-l-09,26,2.64,1.67,mainland,34.42210741,-119.9517074
2001,a-p-04,26,12.8,9.32,anacapa_island,34.017667,-119.363683
2001,a-p-06,26,5.57,3.01,anacapa_island,34.009883,-119.388333
2001,a-p-14,29,14.25,10.04,mainland,34.4412874,-120.4167926
2001,a-p-19,28,14.05,11.32,mainland,34.48696,-120.5005234
2001,a-p-22,34,11.43,7.17,mainland,34.42185,-119.9515
2001,a-p-24,19,10.21,8.79,mainland,34.7295008,-120.6317048
2001,a-p-25,12,7.97,6.87,mainland,34.8719167,-120.6325667
2001,a-p-34,27,13.39,8.9,santa_cruz_island,34.051483,-119.909667
2001,a-p-36,32,7.74,4.33,santa_cruz_island,34.056583,-119.821167
2001,a-p-39,32,7.75,5.23,santa_cruz_island,34.03065,-119.69665
2001,a-p-45,23,7.14,4.44,santa_cruz_island,33.988533,-119.546983
2001,a-p-67,17,7.18,4.74,NA,NA,NA
2002,a-k-01,11,3.18,2.18,san_miguel_island,34.02236667,-120.3874667
2002,a-k-02,11,3.24,2.33,san_miguel_island,34.06438333,-120.3566
